samples	ICGC_GBM12,ICGC_GBM16,ICGC_GBM17,ICGC_GBM18,ICGC_GBM2,ICGC_GBM24,ICGC_GBM26,ICGC_GBM27,ICGC_GBM48,ICGC_GBM53,ICGC_GBM65,SJHGG001,SJHGG004,SJHGG008,SJHGG010324,SJHGG010325,SJHGG014,SJHGG040,SJHGG044,SJHGG045,SJHGG047,SJHGG048,SJHGG049,SJHGG050,SJHGG051,SJHGG053,SJHGG054,SJHGG055,SJHGG056,SJHGG057,SJHGG058,SJHGG060,SJHGG061,SJHGG062,SJHGG065,SJHGG066,SJHGG067,SJHGG068,SJHGG070,SJHGG071,SJHGG073,SJHGG074,SJHGG076,SJHGG077,SJHGG079,SJHGG094,SJHGG100,SJHGG101,SJHGG102,SJHGG104,SJHGG105,SJHGG106,SJHGG109,SJHGG117,SJHGG118
AAK1	12
AASDHPPT	2
ABCA12	21
ABCB9	9
ABCC8	16
ABHD4	17
AC102948.2	47
ACO2	47
ACP2	49
ACVR1	13,20,28,32,34,38,39,41,44,51,53,54
ADAD2	50
ADAM29	48
ADAM32	25
ADAM7	33
ADAMTS19	0
ADAMTSL3	52
ADIG	4
ADRA1B	54
AFAP1L2	49
AFF2	22
AHCTF1	31
AHNAK	5,24
AIM1L	20
AK8	16
AKAP4	13
AKAP8	42
AL133373.1	36
AL390778.1	4
ALG3	37
ALPI	16
ALPK2	53
ALPK3	19
ALPPL2	14
AMER1	26
AMOT	32
ANK1	21
ANKRD31	7,43
ANKS1A	4
ANPEP	37
ANXA10	36
AOC1	2
AP3B1	18
APIP	4
APOC1	2
AQR	14
ARHGAP27	52
ARHGAP5	27
ARHGEF7	40
ARID3B	25
ARRB2	50
ARSH	23
ASCC2	11
ASIC4	29
ASXL1	11
ATAD3B	18
ATHL1	51
ATP10B	42
ATP2B2	51
ATP6V0A2	0
ATP6V1B1	52
ATP8B3	48
ATRX	0,2,5,19,39,42,46
AVPR2	23
AXL	52
BAIAP2L1	29
BCAN	2
BCOR	47
BCORL1	48
BDKRB1	35
BLOC1S2	19
BMF	18
BMP1	52
BMP3	25
BPIFA2	27
BPIFB1	33,37
BPIFB4	33
BRAF	16
BRD2	32
BRWD3	2,13
BSDC1	15
BSPRY	31
BTAF1	2
C10orf112	0
C10orf137	33
C12orf50	2
C17orf62	37
C19orf60	51
C1orf177	33
C2orf57	40
C3AR1	32
C7orf34	33
C7orf72	48
C9orf117	20
C9orf171	33
C9orf3	25
CACNA1F	32
CADPS2	20
CALCOCO1	39
CAMK2B	18
CAMKK2	51
CAMSAP2	4
CAPN12	4
CAPN8	1
CASC5	15
CCAR2	37
CCDC113	12
CCDC132	10
CCDC167	32
CCDC180	35
CCDC181	46
CCDC24	9
CCDC8	27
CCNA1	42
CD163L1	0
CD248	13
CD274	8
CD300E	4
CDC20B	40
CDC73	40
CDCA7	21
CDH23	51
CDH24	51
CDHR4	4
CDKN1B	17
CDKN2C	13
CDR1	25
CDRT1	32
CECR2	37
CELSR1	45
CEP68	32
CEP89	43
CES1	4
CETN2	2
CFHR4	34
CGN	23
CHD2	54
CHST4	22
CIITA	52
CILP2	37
CIZ1	37
CLEC4D	18
CLIP2	47
CLIP4	34
CLU	3
CLUH	51
CMTR2	15
CNGA3	24
COL11A1	50
COL25A1	4
COL6A3	32
CPAMD8	54
CPXM1	27
CRIPAK	4
CRTC2	49
CRTC3	2
CSF1R	23
CSPG4	43
CST9	17
CTC-534A2.2	32
CTNND2	0
CUL4A	33
CUL9	23
CWC22	21
CWH43	32
CXCR4	47
CXorf22	46
CYB5R4	33
CYP26A1	48
CYP2A7	5
CYP3A7	46
DAPK3	50
DAXX	14
DCT	32
DCTN3	6
DDI1	31
DDI2	14
DDX21	35
DDX46	31
DENND4B	40
DGUOK	51
DHRS3	23
DISP1	41
DKK2	31
DLGAP2	5
DMD	19
DNAH11	35
DNAH14	14,51
DNAJC12	50
DNHD1	35
DOCK3	29
DOCK9	13
DOHH	3
DOPEY1	32
DOT1L	50
DRD2	47
DSCAM	8
DSG1	8
DSPP	18
DUSP16	25
DUSP6	5
DYNC1H1	16
DYSF	21,25
DYTN	17
EDC4	19
EDEM2	25
EDEM3	15
EFEMP1	44
EGFLAM	2
EGFR	9,10
EHD2	15
ELF4	16
ELMO1	51
ELMO2	8
ELMSAN1	51
EMILIN2	31
EMR1	25
EMR2	44
ENAM	31
ENDOU	29
ENPP2	14
EPC2	23
EPPK1	1,36
EPS8L2	50
ERBB2IP	35
ERBB4	52
ERC1	4
ERI1	22
