samples	ICGC_GBM1,ICGC_GBM19,ICGC_GBM22,ICGC_GBM25,ICGC_GBM28,ICGC_GBM32,ICGC_GBM38,ICGC_GBM4,ICGC_GBM42,ICGC_GBM43,ICGC_GBM46,ICGC_GBM5,ICGC_GBM52,ICGC_GBM57,ICGC_GBM58,ICGC_GBM59,ICGC_GBM63,SJHGG003,SJHGG017,SJHGG018,SJHGG021,SJHGG022,SJHGG023,SJHGG024,SJHGG025,SJHGG026,SJHGG027,SJHGG028,SJHGG031,SJHGG033,SJHGG035,SJHGG036,SJHGG037,SJHGG041,SJHGG042,SJHGG043,SJHGG052,SJHGG059,SJHGG063,SJHGG064,SJHGG075,SJHGG081,SJHGG082,SJHGG084,SJHGG086,SJHGG089,SJHGG090,SJHGG093,SJHGG107
AAMP	28
AASDHPPT	42
ABCA1	17
ABCA12	22
ABCA4	21
ABCB6	45
ABCF1	32
ABCF2	10
ABCG8	18
AC006116.20	17
AC068620.1	17
AC078925.1	3
AC106876.2	27
ACKR2	16
ACOT12	32
ACTL8	30
ACTN2	15
ACVR1	37,39
ADAD2	45
ADAM19	8
ADAM28	30
ADAMTS13	23
ADAMTS15	28
ADAMTS17	21
ADAMTS18	39
ADAMTSL1	28
ADAMTSL4	28
ADCK4	39
ADH1B	34
ADH4	0
ADNP2	28
ADRA2B	28
AFM	17
AHDC1	48
AHNAK	17
AHNAK2	1,9
AIFM3	28
AIM2	17
AIMP1	38
AK9	23
AKAP3	47
AKAP8	21
AL118506.1	17
AL390778.1	33,36
AL445989.1	10
ALDH9A1	28
ALG12	28
ALG6	17
ALOX12B	7
ALPK1	27
ANGPT4	8
ANKIB1	9
ANKRD12	8
ANKRD13C	17
ANKRD26	11
ANKRD30A	34
ANKRD35	22
ANKRD50	21,35
ANKRD9	10
ANXA6	4
AP001631.10	2
APBB1IP	11
APOBR	11,24
APOL2	9
AQP3	28
AQPEP	13
ARHGAP26	21
ARHGAP28	47
ARHGAP8	33
ARHGEF1	32
ARHGEF16	15
ARHGEF25	21
ARHGEF9	28
ARMC5	36
ARMCX4	15
ART4	11
ARVCF	11
ASCL4	6
ASL	47
ASTL	5
ASXL1	13
ATAD2B	36
ATAD3B	10
ATF7IP	15
ATM	17,19,34
ATN1	28
ATP13A1	17
ATP13A3	17
ATP13A4	21
ATP1A4	37
ATP8A2	37
ATRX	2,6,9,11,16,33
ATXN2	17
ATXN7L2	22
AXL	21
AZU1	28
BACE1	36
BACH1	32
BAIAP3	28
BARX1	17
BATF	10
BBS10	33
BCAN	28
BCMO1	8
BCOR	7,10
BCORL1	17,19
BEAN1	1
BEND2	10
BEST2	28
BHLHE23	10
BICD1	26
BIN1	28
BMP2	28
BMP3	17,36
BMPER	2
BNC2	37
BRAF	7,22,29,47
BRICD5	27
BRINP3	17
BTBD3	26
BTN3A1	32
BTNL3	10
BTNL9	16
C10orf54	7
C11orf80	21
C17orf66	41,45
C19orf60	12
C1orf112	35
C1orf94	17,36
C2CD2	27
C2orf44	28
C2orf54	0
C3	33
C3AR1	37
C5AR2	28
C7	22
C7orf13	16
C9orf131	37
C9orf41	36
C9orf57	45
C9orf64	17
CACNA1F	9
CALHM3	29
CAND1	1
CAPN12	17
CAPN6	42
CASP10	21
CATSPERG	8
CCDC105	9
CCDC106	27
CCDC108	45
