samples	ICGC_LFS_MB1,ICGC_LFS_MB2,ICGC_MB1,ICGC_MB102,ICGC_MB12,ICGC_MB125,ICGC_MB132,ICGC_MB137,ICGC_MB142,ICGC_MB143,ICGC_MB145,ICGC_MB171,ICGC_MB179,ICGC_MB181,ICGC_MB193,ICGC_MB204,ICGC_MB206,ICGC_MB21,ICGC_MB243,ICGC_MB244,ICGC_MB246,ICGC_MB250,ICGC_MB28,ICGC_MB3,ICGC_MB302,ICGC_MB34,ICGC_MB35,ICGC_MB37,ICGC_MB53,ICGC_MB60,ICGC_MB66,ICGC_MB67,ICGC_MB68,ICGC_MB74,ICGC_MB88,SJMB003,SJMB004,SJMB012,SJMB013,SJMB033
ABCA2	5
ABCB6	33
ABCC4	25
ABCG2	37
ABHD16B	5
ABHD17C	28
ABL1	33
ABTB1	5
AC016885.1	15
AC174470.1	12
ACHE	10
ACSF2	1
ACTL9	32
ADAM17	7
ADAM19	5
ADAM8	11
ADAMTS10	23
ADAMTSL3	10
ADD2	5
AEBP1	20
AFF2	18
AGAP5	28
AKAP11	25
AL133481.1	10
AL138847.1	7
ALDH1A1	10
ALDOB	0
ALPK2	39
AMICA1	36
ANGEL2	25
ANK1	18
ANKUB1	32
ANO9	33
ANPEP	37
AP001468.1	3
AP1M2	10
APOB	18
APPL2	11
ARG1	3
ARGFX	7
ARHGAP23	18
ARHGAP25	12
ARHGEF28	29
ARID1A	33
ARID1B	5,12
ARID2	11
ARL13B	7
ASB14	5
ASB8	34
ASXL1	29
ATAD2B	30
ATG2A	10
ATP10B	30
ATP12A	2
ATP13A1	23
ATP6V1D	33
ATRN	7
ATXN3	21
B3GNT8	28
BATF2	5
BBC3	37
BCL9	5
BCOR	4,30
BCR	20,30
BICD1	1
BIRC3	33
BRPF1	9
BSDC1	36
BTNL3	37
C11orf16	2
C11orf72	0
C11orf80	5
C1orf112	34
C1orf172	17
C1orf173	24
C1orf94	7
C22orf42	17
C2CD5	10
C2orf16	25
C2orf78	8
C4BPA	5
C5orf60	22
C7	25
C7orf63	25
C9orf9	7
CA2	39
CABIN1	15
CACNA1D	20
CACNA1H	30
CAPN5	18
CAT	30
CCAR1	2,5
CCBE1	23
CCDC101	1
CCDC110	1
CCDC158	15
CCDC18	29
CCDC87	25
CCDC88B	12
CCND3	10
CD33	0
CD5L	7
CD79A	37
CDH23	11
CDH7	30
CDKL3	3
CDR2L	33
CELF2	37
CEP41	30
CFHR2	15
CFTR	27
CHAMP1	10
CHD8	10
CHN1	7
CILP2	20,33
CLIC6	10
CLSTN1	9
CLTCL1	37
CNPPD1	30
CNTN4	9
CNTNAP2	9
CNTRL	5
COG1	21
COG6	33
COL12A1	12,30
COL4A1	3
COLEC12	11
CORO2A	8
CPEB1	28
CPVL	8
CPXCR1	9
CR2	18
CREBBP	29,32
CRELD2	16
CRNN	10
CSMD2	5
CSNK1A1	9
CSNK2A2	11
CT62	0
CTB-167G5.5	12
CTC1	15
CTRC	16
CTTNBP2	1
CUL4B	12
CUL5	15
CXCR2	30
CXorf61	16
CXorf67	9
CYLC1	11
DAB1	39
DBH	25
DCAF12L1	0
DCAF12L2	3
DCAF8L2	9
DDX3X	3,5,11,12,13,23,29,30,32,33,39
DDX5	18
DDX53	23
DDX58	25
DEFB126	5
DENND2A	28
DIP2B	5
DLG2	13
DLGAP1	33
DLGAP2	1
DLL3	9
DNAH11	33
DNAH17	1
DNAH8	36
DPY19L3	3
DSCC1	17
DSG2	24
DST	1,33
DUSP9	9
DYNC1H1	36
DYNLL1	3
ECEL1	18
ECM1	1
EEF1A2	32
EEF2K	11
EGR3	30
EIF3G	37
EIF3M	19
EIF4G3	13
ELF3	1
EML4	5,39
EML6	25
EMR2	34
EMX1	33
EPB41L3	33
EPHA10	37
EPHA2	1
EPHA7	30
EQTN	1
ERN2	11
ERVFRD-1	33
ESRP1	13
ESYT3	9
EXOC1	13
EXOC3L4	5
EXTL2	18
F13B	30
F2RL1	30
F2RL2	39
FAM117B	0
FAM122A	10
FAM122B	9
FAM178B	23
FAM182B	23
FAM186A	10
FAM186B	18
FAM194A	10
FAM207A	7
FAM209A	10
FAM230A	10,12,18
FAM46A	29
FAM50A	39
FAM71F2	8
FAT3	29
FAT4	7
FBN2	20
FBXL13	13
FBXW11	19
FBXW7	15,33
FGFBP2	28
FILIP1	1
FITM1	25
FLCN	0
FLNA	23,33
FLNB	21
FOSL2	2
FOXN4	19
FOXR1	10
FRAS1	1
FREM2	31,36
FRMPD1	34
FSCB	10
FSIP2	16
FUNDC2	25
FZD10	7
FZD8	5
GABRA3	15
GABRG1	39
GADD45GIP1	2
GBP6	28
GEMIN5	4
GH2	21
GLI2	30
GNL3L	23
GOLGA5	7
GOLGA6L2	3
GOLT1B	13
GPR155	3
GREB1	25
GRHPR	13
GSE1	2,31
GSG1	3
GTF2F1	20
GTSF1L	12
GXYLT2	33
GZMH	20
HAP1	33
HAT1	11
HCN3	2
HEATR1	5,10
HECW1	7
HERC4	7
HEXB	15
HGSNAT	9
HIVEP1	30
HK3	10
HLA-C	24
HLA-DRB1	6
HLA-DRB5	1
HMGN5	15
HNRNPK	30
HPCAL1	18
HRH1	35
HRNR	37
HSP90AB1	28
HTRA3	35
IDH1	3
IGF2BP2	5
IL31RA	15
IPCEF1	9
IQGAP3	18
IRAK2	30
IREB2	4
ITFG3	5
ITGA2	20
ITGA7	11
ITGB6	10
ITIH5	25
ITLN1	32
ITLN2	7
IVL	10
JAG1	5
KANK4	25
KAT6B	3,18
KATNA1	28
KCNK18	39
KDM2B	5
KDM3B	20
KDM5C	3
KIAA1045	12
KIAA1211	28
KIAA1522	32
KIAA1549L	30
KIAA2018	33
KIF13B	15
KIF26B	5
KIF4B	5
KIF7	12,39
KIFC3	0
KLHL21	32
KLHL22	11
KLHL38	7
KMT2A	30
KMT2C	16,24
KMT2D	4,24,28,34
KPTN	31
KRTAP10-2	36
KRTAP12-4	18
KRTAP4-4	10
KRTAP9-1	23
L1CAM	25
